	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)
VARIABLES	allapps	allapps	DIonly	SSItotal	SSDItotal	allapps	DIonly	SSItotal	SSDItotal	allapps	DIonly	SSItotal	SSDItotal	allapps	DIonly	SSItotal	SSDItotal
																	
36047.county	1.042***																
	(0.0421)																
36051.county	0.933***																
	(0.0263)																
36053.county	0.967***																
	(0.0225)																
36055.county	1.717***	0.678***	0.280***	0.398***	0.441***	0.678***	0.280***	0.398***	0.441***	0.678***	0.280***	0.398***	0.441***	0.678***	0.280***	0.398***	0.441***
	(0.0125)	(0.0362)	(0.00845)	(0.0300)	(0.0311)	(0.0362)	(0.00845)	(0.0300)	(0.0311)	(0.0362)	(0.00845)	(0.0300)	(0.0311)	(0.0362)	(0.00845)	(0.0300)	(0.0311)
36057.county	2.060***																
	(0.0501)																
36059.county	-0.0404***																
	(0.00680)																
36061.county	0.701***																
	(0.00892)																
36063.county	1.979***	0.944***	0.818***	0.126***	0.935***	0.944***	0.818***	0.126***	0.935***	0.944***	0.818***	0.126***	0.935***	0.944***	0.818***	0.126***	0.935***
	(0.0431)	(0.0356)	(0.00826)	(0.0295)	(0.0306)	(0.0356)	(0.00826)	(0.0295)	(0.0306)	(0.0356)	(0.00826)	(0.0295)	(0.0306)	(0.0356)	(0.00826)	(0.0295)	(0.0306)
36065.county	2.173***																
	(0.0127)																
36067.county	1.797***																
	(0.00722)																
36069.county	0.693***																
	(0.00880)																
36071.county	0.695***																
	(0.00671)																
36073.county	1.977***																
	(0.0508)																
36075.county	1.845***																
	(0.0555)																
36077.county	0.899***																
	(0.0140)																
36079.county	-0.119***																
	(0.0157)																
36081.county	0.136***																
	(0.0137)																
36083.county	1.206***																
	(0.00407)																
36085.county	1.101***																
	(0.0149)																
36087.county	0.00221																
	(0.00606)																
36089.county	1.967***																
	(0.0568)																
36091.county	0.171***																
	(0.0133)																
36093.county	1.439***																
	(0.00266)																
36101.county	2.378***																
	(0.0387)																
36103.county	0.377***																
	(0.00137)																
36105.county	2.015***																
	(0.0325)																
36107.county	1.294***																
	(0.0142)																
36109.county	0.0405*																
	(0.0188)																
36111.county	1.106***																
	(0.00865)																
36113.county	1.384***																
	(0.0144)																
36115.county	1.396***																
	(0.00714)																
36117.county	1.200***																
	(0.0228)																
36119.county	0.0859***																
	(0.00640)																
36121.county	1.011***																
	(0.0306)																
42001.county	0.533***																
	(0.0200)																
42003.county	1.870***	0.831***	0.194***	0.637***	0.623***	0.831***	0.194***	0.637***	0.623***	0.831***	0.194***	0.637***	0.623***	0.831***	0.194***	0.637***	0.623***
	(0.00932)	(0.0437)	(0.0102)	(0.0362)	(0.0375)	(0.0437)	(0.0102)	(0.0362)	(0.0375)	(0.0437)	(0.0102)	(0.0362)	(0.0375)	(0.0437)	(0.0102)	(0.0362)	(0.0375)
42005.county	2.516***																
	(0.0390)																
42007.county	2.601***	1.564***	0.563***	1.001***	1.335***	1.564***	0.563***	1.001***	1.335***	1.564***	0.563***	1.001***	1.335***	1.564***	0.563***	1.001***	1.335***
	(0.0236)	(0.0100)	(0.00241)	(0.00825)	(0.00856)	(0.0100)	(0.00241)	(0.00825)	(0.00856)	(0.0100)	(0.00241)	(0.00825)	(0.00856)	(0.0100)	(0.00241)	(0.00825)	(0.00856)
42009.county	2.233***	1.201***	0.581***	0.620***	1.094***	1.201***	0.581***	0.620***	1.094***	1.201***	0.581***	0.620***	1.094***	1.201***	0.581***	0.620***	1.094***
	(0.0630)	(0.0824)	(0.0192)	(0.0683)	(0.0709)	(0.0824)	(0.0192)	(0.0683)	(0.0709)	(0.0824)	(0.0192)	(0.0683)	(0.0709)	(0.0824)	(0.0192)	(0.0683)	(0.0709)
42011.county	1.539***																
	(0.0109)																
42013.county	3.076***	2.038***	0.602***	1.436***	1.515***	2.038***	0.602***	1.436***	1.515***	2.038***	0.602***	1.436***	1.515***	2.038***	0.602***	1.436***	1.515***
	(0.0145)	(0.0316)	(0.00740)	(0.0262)	(0.0271)	(0.0316)	(0.00740)	(0.0262)	(0.0271)	(0.0316)	(0.00740)	(0.0262)	(0.0271)	(0.0316)	(0.00740)	(0.0262)	(0.0271)
42015.county	2.210***																
	(0.0177)																
42017.county	0.418***	-0.623***	0.206***	-0.829***	-0.153*	-0.623***	0.206***	-0.829***	-0.153*	-0.623***	0.206***	-0.829***	-0.153*	-0.623***	0.206***	-0.829***	-0.153*
