"","est1","","","","est2","","","","est3","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p"
"_SstfXyea_6_1975","","","","","-2.587718","1.577623","-1.640264",".1010542","-1.178746","1.069396","-1.102254",".270439"
"_SstfXyea_6_1976","","","","","-1.32577","1.044115","-1.269755",".2042697",".1713553",".5557678",".3083217",".7578588"
"_SstfXyea_6_1977","","","","","-1.867635","1.544696","-1.209063",".2267331","-.2657235",".9506292","-.2795238",".779862"
"_SstfXyea_6_1978","","","","","-1.764104","1.29143","-1.366008",".172038","-.0288859",".7268831","-.0397395",".9683035"
"_SstfXyea_6_1979","","","","","-3.144005","1.913508","-1.643058",".1004747","-1.313443","1.21784","-1.078502",".2808956"
"_SstfXyea_6_1980","","","","","-3.25334","1.659017","-1.961005",".0499701","-1.323866",".9045025","-1.46364",".1433963"
"_SstfXyea_6_1981","","","","","-1.166202","1.097667","-1.062437",".2881221",".8590167",".524172","1.638807",".1013574"
"_SstfXyea_6_1982","","","","","-2.353136","1.93761","-1.214453",".2246696","-.2344446","1.131329","-.2072294",".8358447"
"_SstfXyea_6_1983","","","","","-.1642602",".4414569","-.3720866",".7098545","2.047904",".876316","2.336947",".0195068"
"_SstfXyea_6_1984","","","","","-.6314964",".7837285","-.8057592",".420445","1.67414",".6155234","2.719865",".0065682"
"_SstfXyea_6_1985","","","","","-.1665988",".6622469","-.2515659",".8013937","2.232511",".7510636","2.972466",".0029775"
"_SstfXyea_6_1986","","","","",".3018155",".9509896",".3173699",".7509848","2.794398",".8447106","3.308113",".0009503"
"_SstfXyea_6_1987","","","","","2.459488","1.088323","2.259887",".0238991","5.045544","2.182156","2.312183",".0208344"
"_SstfXyea_6_1988","","","","","-.3524972",".8676207","-.4062803",".6845654","2.327031",".6992764","3.32777",".0008859"
"_SstfXyea_8_1961","","","","",".6367245",".3525125","1.806247",".0709791",".6112774",".360399","1.696113",".0899673"
"_SstfXyea_8_1962","","","","",".177759",".1285077","1.383256",".1666886",".0377735",".1365088",".2767108",".7820211"
"_SstfXyea_8_1963","","","","","-.2376539",".3528837","-.6734624",".5007046","-.1396639",".4269745","-.3271012",".7436139"
"_SstfXyea_8_1964","","","","","-.1885576",".2405989","-.783701",".4332769","-.2134177",".3138303","-.6800417",".4965301"
"_SstfXyea_8_1965","","","","",".19211",".2352792",".816519",".4142676",".1464619",".3234809",".4527682",".6507481"
"_SstfXyea_8_1966","","","","","-.1651895",".2166037","-.7626348",".4457407","-.2506305",".254241","-.9857989",".3243106"
"_SstfXyea_8_1967","","","","","-.8386399",".3706921","-2.262363",".0237456","-.8952266",".4362692","-2.052005",".040255"
"_SstfXyea_8_1968","","","","","-.3520946",".3988876","-.8826913",".3774732","-.4337499",".4621492","-.9385496",".3480369"
"_SstfXyea_8_1969","","","","","-.0673241",".460394","-.1462314",".8837485","-.1609464",".5278428","-.3049135",".760453"
"_SstfXyea_8_1970","","","","","-.5205003",".2010791","-2.588535",".0096847","-.6184039",".3045476","-2.030566",".0423864"
"_SstfXyea_8_1971","","","","","-.436084",".5872277","-.7426149",".4577725","-.5599157",".6291345","-.8899778",".3735486"
"_SstfXyea_8_1972","","","","",".1381231",".4819104",".2866157",".7744262",".0153014",".5367787",".028506",".9772604"
"_SstfXyea_8_1973","","","","","-.1552317",".4376554","-.3546894",".722847","-.2664645",".4936959","-.5397341",".5894202"
"_SstfXyea_8_1974","","","","","-.1409232",".3903177","-.3610475",".7180891","-.3010214",".3877618","-.7763049",".4376296"
"_SstfXyea_8_1975","","","","",".515723",".3191165","1.616096",".1061777",".3752375",".4618206",".8125178",".4165585"
