"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","",""
"_IstaXt_16","","","","","","","","",".2168648",".0197465","10.98243","8.19e-15","","","","",".0524659",".1058626",".4956038",".6223895",".0800881",".0846096",".9465598",".3485079",".0800881",".0846096",".9465598",".3485079"
"_IstaXt_17","","","","","","","","",".3295493",".0174266","18.91068","3.68e-24","","","","",".3028099",".0899674","3.365772",".0014912",".1475366",".0617426","2.389543",".0207617",".1475366",".0617426","2.389543",".0207617"
"_IstaXt_18","","","","","","","","",".2913206",".0174766","16.66913","7.88e-22","","","","",".3232942",".0928433","3.482151",".0010562",".2135665",".0579794","3.683489",".0005741",".2135665",".0579794","3.683489",".0005741"
"_IstaXt_19","","","","","","","","",".2224228",".0232289","9.575278","8.33e-13","","","","",".2014372",".112899","1.784225",".0805797",".1284301",".103347","1.242707",".21989",".1284301",".103347","1.242707",".21989"
"_IstaXt_20","","","","","","","","",".281401",".0234842","11.98257","3.57e-16","","","","",".1983785",".119343","1.662255",".1028467",".2488932",".1061491","2.34475",".0231357",".2488932",".1061491","2.34475",".0231357"
"_IstaXt_21","","","","","","","","",".0927319",".0000537","1726.01","7.1e-119","","","","",".088014",".0134311","6.553023","3.27e-08",".1692896",".0194384","8.709039","1.61e-11",".1692896",".0194384","8.709039","1.61e-11"
"_IstaXt_22","","","","","","","","",".4294659",".0412746","10.40509","5.30e-14","","","","",".4398176",".0893736","4.921111",".0000101",".3655315",".0888706","4.113075",".0001487",".3655315",".0888706","4.113075",".0001487"
"_IstaXt_23","","","","","","","","",".0076252",".0212369",".3590522",".7210986","","","","",".1521646",".1058787","1.43716",".1570277",".2299114",".1014692","2.265825",".0279155",".2299114",".1014692","2.265825",".0279155"
"_IstaXt_24","","","","","","","","",".3504491",".0231687","15.12595","4.30e-20","","","","","-.5724387",".089089","-6.425466","5.15e-08",".247777",".1022424","2.423426",".0191138",".247777",".1022424","2.423426",".0191138"
"_IstaXt_25","","","","","","","","","-.0194972",".0211963","-.9198401",".3621627","","","","",".0171794",".0924184",".1858871",".8533007",".110995",".0809695","1.370826",".1766759",".110995",".0809695","1.370826",".1766759"
"_IstaXt_26","","","","","","","","",".3486482",".0173911","20.04751","2.91e-25","","","","",".3368986",".0810118","4.158634",".0001284",".2623153",".0606929","4.322012",".0000754",".2623153",".0606929","4.322012",".0000754"
"_IstaXt_27","","","","","","","","",".1984305",".0239","8.302546","6.61e-11","","","","",".0778888",".1079149",".7217611",".4738716",".1257186",".1053915","1.192873",".2386634",".1257186",".1053915","1.192873",".2386634"
"_IstaXt_28","","","","","","","","","-.0146218",".0001714","-85.32926","5.90e-55","","","","",".0454761",".0133755","3.39996",".0013483",".0638873",".0237755","2.6871",".0098159",".0638873",".0237755","2.6871",".0098159"
"_IstaXt_29","","","","","","","","",".1897387",".0237135","8.001297","1.90e-10","","","","",".1517063",".1012899","1.497743",".1406148",".1285877",".0924881","1.390316",".1707161",".1285877",".0924881","1.390316",".1707161"
"_IstaXt_30","","","","","","","","",".2421262",".0199387","12.14355","2.18e-16","","","","",".0962745",".1010763",".9524937",".3455218",".1409243",".0803016","1.754937",".0855211",".1409243",".0803016","1.754937",".0855211"
"_IstaXt_31","","","","","","","","",".3537747",".0235856","14.99964","6.04e-20","","","","",".3121883",".1103407","2.829313",".0067425",".3486512",".0984589","3.541084",".0008851",".3486512",".0984589","3.541084",".0008851"
"_IstaXt_32","","","","","","","","",".177971",".0196902","9.038572","5.17e-12","","","","",".0126051",".107166",".1176225",".9068476",".0361055",".0914949",".394618",".6948372",".0361055",".0914949",".394618",".6948372"
"_IstaXt_33","","","","","","","","","-.0320281",".0224982","-1.423585",".1609033","","","","",".0548253",".0954243",".5745425",".5682293",".1119263",".084622","1.322662",".192088",".1119263",".084622","1.322662",".192088"
"_IstaXt_34","","","","","","","","","-.0626638",".0169995","-3.686221",".0005693","","","","",".2151353",".0668365","3.218829",".0022852","-.0864989",".0613751","-1.40935",".165047","-.0864989",".0613751","-1.40935",".165047"
"_IstaXt_35","","","","","","","","",".3148684",".0199067","15.81718","6.94e-21","","","","",".2484128",".1140671","2.177778",".0342656",".3674844",".0922337","3.984274",".0002244",".3674844",".0922337","3.984274",".0002244"
"_IstaXt_36","","","","","","","","",".0456612",".0169939","2.686909",".0098207","","","","",".3576307",".071756","4.983984","8.17e-06",".1234459",".0665371","1.855295",".0695748",".1234459",".0665371","1.855295",".0695748"
"_IstaXt_37","","","","","","","","",".3624577",".0243989","14.85552","8.91e-20","","","","","-.6878952",".1053668","-6.528576","3.57e-08",".1598261",".1083733","1.474774",".14667",".1598261",".1083733","1.474774",".14667"
"_IstaXt_38","","","","","","","","",".5070838",".0229882","22.05848","4.25e-27","","","","",".450907",".1076864","4.187225",".000117",".3609173",".0838773","4.302921",".0000803",".3609173",".0838773","4.302921",".0000803"
"_IstaXt_39","","","","","","","","",".5273616",".0173374","30.4175","1.79e-33","","","","",".5163337",".0911283","5.666006","7.62e-07",".4920619",".0607792","8.095892","1.36e-10",".4920619",".0607792","8.095892","1.36e-10"
"_IstaXt_40","","","","","","","","",".4307446",".0407888","10.56036","3.19e-14","","","","",".4194545",".1189977","3.524896",".0009293",".4307862",".118879","3.623738",".0006891",".4307862",".118879","3.623738",".0006891"
"_IstaXt_41","","","","","","","","",".4951211",".019856","24.93564","1.69e-29","","","","",".1414151",".1120527","1.262042",".212908",".2559528",".182401","1.403242",".1668501",".2559528",".182401","1.403242",".1668501"
"_IstaXt_42","","","","","","","","",".0448318",".016957","2.643847",".0109795","","","","",".3628094",".0670636","5.409934","1.87e-06",".1030789",".0578455","1.781969",".0809516",".1030789",".0578455","1.781969",".0809516"
"_IstaXt_44","","","","","","","","",".1603761",".0208798","7.680938","5.89e-10","","","","",".1326408",".0882627","1.502796",".1393097",".1920249",".0751349","2.555736",".0137494",".1920249",".0751349","2.555736",".0137494"
"_IstaXt_45","","","","","","","","",".2610249",".0237092","11.00945","7.51e-15","","","","","-.6142759",".1073379","-5.722822","6.24e-07",".1872364",".1152938","1.623994",".1107935",".1872364",".1152938","1.623994",".1107935"
"_IstaXt_46","","","","","","","","",".478283",".0235825","20.2813","1.75e-25","","","","",".4086573",".1070424","3.817712",".000379",".4537063",".0929885","4.879168",".0000117",".4537063",".0929885","4.879168",".0000117"
"_IstaXt_47","","","","","","","","",".0263429",".0003547","74.2692","5.04e-52","","","","","-.0721065",".0167663","-4.300682",".0000809","-.1695946",".0143934","-11.78283","6.60e-16","-.1695946",".0143934","-11.78283","6.60e-16"
"_IstaXt_48","","","","","","","","",".2969784",".0167405","17.74014","5.70e-23","","","","",".3277343",".1030997","3.178808",".0025626",".3827657",".0980334","3.904441",".0002888",".3827657",".0980334","3.904441",".0002888"
"_IstaXt_49","","","","","","","","",".292675",".0197821","14.79494","1.05e-19","","","","",".0770789",".1089306",".7075959",".4825484",".086331",".0841739","1.025627",".3101041",".086331",".0841739","1.025627",".3101041"
"_IstaXt_50","","","","","","","","",".0067042",".021499",".3118393",".7564857","","","","",".1408359",".1041729","1.351944",".1826008",".1643616",".0937479","1.753229",".0858168",".1643616",".0937479","1.753229",".0858168"
"_IstaXt_51","","","","","","","","",".4308119",".0235892","18.26312","1.65e-23","","","","","-.5435472",".0949329","-5.725593","6.18e-07",".2748096",".1266335","2.170118",".034874",".2748096",".1266335","2.170118",".034874"
"_IstaXt_53","","","","","","","","",".6279878",".0198098","31.70091","2.60e-34","","","","",".3424221",".1185896","2.887453",".0057649",".4272967",".1926337","2.218182",".0312084",".4272967",".1926337","2.218182",".0312084"
"_IstaXt_54","","","","","","","","",".5813685",".0220796","26.33053","1.41e-30","","","","","-.426456",".0950078","-4.488643",".0000435",".3874582",".1174478","3.298982",".0018127",".3874582",".1174478","3.298982",".0018127"
"_IstaXt_55","","","","","","","","",".2703138",".0174714","15.47182","1.71e-20","","","","",".3525077",".0840191","4.195568",".0001139",".210362",".0614149","3.425257",".0012511",".210362",".0614149","3.425257",".0012511"
"_IstaXt_56","","","","","","","","",".3784885",".0198847","19.03412","2.78e-24","","","","",".3469185",".1113297","3.116136",".0030616",".4693842",".0918553","5.110042","5.30e-06",".4693842",".0918553","5.110042","5.30e-06"
"_IstaXoil__2","","","","","","","","","","","","",".0010394",".007862",".1322067",".8953622","","","","","","","","","","","",""
"_IstaXoil__4","","","","","","","","","","","","",".0333693",".0083927","3.976003",".0002304","","","","","","","","","","","",""
"_IstaXoil__5","","","","","","","","","","","","",".0418707",".0080884","5.176667","4.21e-06","","","","","","","","","","","",""
"_IstaXoil__6","","","","","","","","","","","","",".0346743",".0078739","4.40372",".0000577","","","","","","","","","","","",""
"_IstaXoil__8","","","","","","","","","","","","",".0446733",".0083997","5.318422","2.57e-06","","","","","","","","","","","",""
"_IstaXoil__9","","","","","","","","","","","","",".0327568",".0109821","2.982744",".0044427","","","","","","","","","","","",""
"_IstaXoil__10","","","","","","","","","","","","",".0027533",".0100653",".2735416",".7855866","","","","","","","","","","","",""
"_IstaXoil__12","","","","","","","","","","","","",".073385",".0100207","7.32336","2.10e-09","","","","","","","","","","","",""
"_IstaXoil__13","","","","","","","","","","","","",".0452035",".0100011","4.519846",".0000392","","","","","","","","","","","",""
"_IstaXoil__15","","","","","","","","","","","","",".0105382",".0078483","1.342738",".1855443","","","","","","","","","","","",""
"_IstaXoil__16","","","","","","","","","","","","",".0191833",".0083939","2.285383",".0266555","","","","","","","","","","","",""
"_IstaXoil__17","","","","","","","","","","","","",".0246349",".010009","2.461272",".0174133","","","","","","","","","","","",""
"_IstaXoil__18","","","","","","","","","","","","",".00603",".0099696",".6048346",".5480798","","","","","","","","","","","",""
"_IstaXoil__19","","","","","","","","","","","","",".0263821",".0101402","2.601726",".0122328","","","","","","","","","","","",""
"_IstaXoil__20","","","","","","","","","","","","",".0388918",".010114","3.84533",".0003477","","","","","","","","","","","",""
"_IstaXoil__21","","","","","","","","","","","","",".0228214","9.80e-06","2327.588","3.1e-125","","","","","","","","","","","",""
"_IstaXoil__22","","","","","","","","","","","","",".0493889",".0080026","6.171576","1.27e-07","","","","","","","","","","","",""
"_IstaXoil__23","","","","","","","","","","","","",".040008",".0109834","3.642589",".0006506","","","","","","","","","","","",""
"_IstaXoil__24","","","","","","","","","","","","",".0103089",".010124","1.018264",".3135538","","","","","","","","","","","",""
"_IstaXoil__25","","","","","","","","","","","","",".0220083",".0109546","2.009043",".0500584","","","","","","","","","","","",""
"_IstaXoil__26","","","","","","","","","","","","",".0095558",".0100446",".9513292",".3461064","","","","","","","","","","","",""
"_IstaXoil__27","","","","","","","","","","","","","-.0009311",".0100707","-.0924585",".9267108","","","","","","","","","","","",""
"_IstaXoil__28","","","","","","","","","","","","",".002491",".0000591","42.11673","3.82e-40","","","","","","","","","","","",""
"_IstaXoil__29","","","","","","","","","","","","","-.0085711",".0100901","-.8494611",".3997561","","","","","","","","","","","",""
"_IstaXoil__30","","","","","","","","","","","","",".0337027",".0083993","4.012574",".0002051","","","","","","","","","","","",""
"_IstaXoil__31","","","","","","","","","","","","",".0392023",".0101027","3.880385",".0003115","","","","","","","","","","","",""
"_IstaXoil__32","","","","","","","","","","","","",".020275",".008408","2.41139",".0196851","","","","","","","","","","","",""
"_IstaXoil__33","","","","","","","","","","","","",".0285667",".0107723","2.651862",".0107548","","","","","","","","","","","",""
"_IstaXoil__34","","","","","","","","","","","","",".0278366",".0083284","3.342354",".0015972","","","","","","","","","","","",""
"_IstaXoil__35","","","","","","","","","","","","",".0506483",".0083914","6.035749","2.06e-07","","","","","","","","","","","",""
"_IstaXoil__36","","","","","","","","","","","","",".0466851",".0083248","5.607926","9.35e-07","","","","","","","","","","","",""
"_IstaXoil__37","","","","","","","","","","","","",".0121285",".0100249","1.209835",".2321466","","","","","","","","","","","",""
"_IstaXoil__38","","","","","","","","","","","","",".0940749",".010168","9.252076","2.49e-12","","","","","","","","","","","",""
"_IstaXoil__39","","","","","","","","","","","","",".0635829",".01004","6.332988","7.16e-08","","","","","","","","","","","",""
"_IstaXoil__40","","","","","","","","","","","","",".0355569",".0080614","4.410743",".0000563","","","","","","","","","","","",""
"_IstaXoil__41","","","","","","","","","","","","","-.01338",".0078755","-1.698946",".0956709","","","","","","","","","","","",""
"_IstaXoil__42","","","","","","","","","","","","",".0462539",".0083233","5.557159","1.12e-06","","","","","","","","","","","",""
"_IstaXoil__44","","","","","","","","","","","","",".0890443",".0110195","8.080627","1.44e-10","","","","","","","","","","","",""
"_IstaXoil__45","","","","","","","","","","","","","-.0020054",".0100803","-.1989414",".8431318","","","","","","","","","","","",""
"_IstaXoil__46","","","","","","","","","","","","",".0668823",".0101041","6.619342","2.58e-08","","","","","","","","","","","",""
"_IstaXoil__47","","","","","","","","","","","","",".0040532",".0000438","92.49224","1.16e-56","","","","","","","","","","","",""
"_IstaXoil__48","","","","","","","","","","","","",".0001849",".0098285",".0188126",".985067","","","","","","","","","","","",""
"_IstaXoil__49","","","","","","","","","","","","",".0467658",".0083904","5.573705","1.05e-06","","","","","","","","","","","",""
"_IstaXoil__50","","","","","","","","","","","","",".0390007",".010924","3.57018",".0008107","","","","","","","","","","","",""
"_IstaXoil__51","","","","","","","","","","","","",".0502794",".0100942","4.981003","8.26e-06","","","","","","","","","","","",""
"_IstaXoil__53","","","","","","","","","","","","",".0288851",".007882","3.664682",".0006081","","","","","","","","","","","",""
"_IstaXoil__54","","","","","","","","","","","","",".0605171",".0102085","5.928116","3.02e-07","","","","","","","","","","","",""
"_IstaXoil__55","","","","","","","","","","","","","-.0082026",".0099795","-.8219475",".4150885","","","","","","","","","","","",""
"_IstaXoil__56","","","","","","","","","","","","",".0607196",".0084025","7.226386","2.96e-09","","","","","","","","","","","",""
"L1lnrahem","","","","","","","","","","","","","","","","","-1.705743","1.082067","-1.576375",".1213745","-1.248996","1.079708","-1.15679",".2529666","-1.248996","1.079708","-1.15679",".2529666"
"L1sttaxr","","","","","","","","","","","","","","","","","54.47266","27.41444","1.987006",".0525274","49.7159","30.07153","1.653255",".1046728","49.7159","30.07153","1.653255",".1046728"
"L1lnhpifhfa","","","","","","","","","","","","","","","","","1.873076",".7092285","2.641005",".0110602","1.543828","1.012468","1.524816",".133734","1.543828","1.012468","1.524816",".133734"
"age","","","","","","","","","","","","","","","","","-.9209353",".1286858","-7.156465","3.80e-09","-1.044807",".1293445","-8.077704","1.45e-10","-1.044807",".1293445","-8.077704","1.45e-10"
"female","","","","","","","","","","","","","","","","","-19.79351","7.254937","-2.728282",".0088143","-1.637221","8.487609","-.1928955",".8478381","-1.637221","8.487609","-.1928955",".8478381"
"married","","","","","","","","","","","","","","","","","5.650438","4.681702","1.20692",".2332574","11.95708","4.566592","2.61838",".0117224","11.95708","4.566592","2.61838",".0117224"
"child","","","","","","","","","","","","","","","","","11.55089","4.314961","2.676939",".0100786","5.451678","5.357247","1.017627",".3138537","5.451678","5.357247","1.017627",".3138537"
"white","","","","","","","","","","","","","","","","","10.11134","3.856968","2.621577",".0116267","12.61113","4.554928","2.768678",".007924","12.61113","4.554928","2.768678",".007924"
"black","","","","","","","","","","","","","","","","","-.6088757","8.288918","-.0734566",".9417418","2.144667","6.833575",".3138426",".7549728","2.144667","6.833575",".3138426",".7549728"
"hsgrad","","","","","","","","","","","","","","","","",".3996515","5.315786",".075182",".940376",".7807782","5.050989",".1545793",".877788",".7807782","5.050989",".1545793",".877788"
"collegeplus","","","","","","","","","","","","","","","","","2.706186","5.897824",".4588448",".6483746","-4.328429","6.796218","-.636888",".5271622","-4.328429","6.796218","-.636888",".5271622"
"inter_bra","","","","","","","","","","","","","","","","","","","","","-.0765698",".052033","-1.471563",".1475327","-.0765698",".052033","-1.471563",".1475327"
"_cons","63.1396",".1158025","545.2352","2.34e-94","63.77072",".2500521","255.0298","3.42e-78","63.84596",".2549336","250.4416","8.31e-78","63.85092",".2502655","255.1327","3.35e-78","93.60792","8.574093","10.91753","1.01e-14","86.93809","7.539555","11.53093","1.45e-15","86.93809","7.539555","11.53093","1.45e-15"
"N","800","","","","800","","","","800","","","","800","","","","797","","","","597","","","","597","","",""
"r2",".9477162","","","",".9626887","","","",".9753004","","","",".9740824","","","",".9848068","","","",".9891968","","","",".9891968","","",""
"df_m","14","","","","40","","","","43","","","","41","","","","48","","","","48","","","","48","","",""
"df_r","49","","","","49","","","","49","","","","49","","","","49","","","","49","","","","49","","",""
"df_b","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"df","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
