------------------------------------------------------------------------------------------------------------------------------
      name:  <unnamed>
       log:  E:\Dropbox\Dropbox\Academic Calendar\AEJ Policy\Files for Publication\Replication\\Output\figure_A2a_DnD.txt
  log type:  text
 opened on:  20 Oct 2020, 16:09:19

. areg gradrate4yr  block1 block2     i.year c.year#i.unitid $timevar   [aw=meansize] , cluster(unitid) abs(unitid)
(sum of wgt is   1.5022e+07)
note: 243780.unitid#c.year omitted because of collinearity

Linear regression, absorbing indicators         Number of obs     =     13,836
                                                F(  25,    730)   =          .
                                                Prob > F          =          .
                                                R-squared         =     0.9814
                                                Adj R-squared     =     0.9792
                                                Root MSE          =     0.0304

                                 (Std. Err. adjusted for 731 clusters in unitid)
--------------------------------------------------------------------------------
               |               Robust
   gradrate4yr |      Coef.   Std. Err.      t    P>|t|     [95% Conf. Interval]
---------------+----------------------------------------------------------------
       170301  |   .0002455    .001406     0.17   0.861    -.0025148    .0030057
       170532  |   .0029244   .0015485     1.89   0.059    -.0001157    .0059645
       170639  |  -.0087624   .0014023    -6.25   0.000    -.0115154   -.0060093
       170976  |  -.0052481   .0037118    -1.41   0.158    -.0125351     .002039
       171100  |   .0047559   .0004797     9.92   0.000     .0038142    .0056976
       171128  |  -.0031618   .0014329    -2.21   0.028     -.005975   -.0003486
       171137  |   -.002477   .0012967    -1.91   0.056    -.0050226    .0000687
       171146  |  -.0087645   .0013276    -6.60   0.000    -.0113708   -.0061581
       171599  |   .0006948   .0014456     0.48   0.631    -.0021433    .0035328
       172051  |  -.0075795   .0013278    -5.71   0.000    -.0101861   -.0049728
       172699  |  -.0025946   .0010719    -2.42   0.016    -.0046989   -.0004903
       173160  |  -.0050719   .0014003    -3.62   0.000     -.007821   -.0023228
       173258  |  -.0005384   .0016522    -0.33   0.745    -.0037821    .0027054
       173328  |  -.0003123   .0015936    -0.20   0.845     -.003441    .0028163
       173647  |  -.0021416   .0015637    -1.37   0.171    -.0052115    .0009282
       173902  |   .0024637   .0017651     1.40   0.163    -.0010016     .005929
       174066  |   .0163221   .0009598    17.01   0.000     .0144377    .0182064
       174233  |   .0017693   .0013521     1.31   0.191    -.0008851    .0044237
       174251  |   .0036931   .0015414     2.40   0.017      .000667    .0067192
       174491  |   .0047088   .0015175     3.10   0.002     .0017296    .0076879
       174792  |  -.0017899   .0015561    -1.15   0.250    -.0048449    .0012651
       174844  |   .0019926   .0017063     1.17   0.243    -.0013573    .0053424
       174899  |   .0043357   .0015593     2.78   0.006     .0012745    .0073969
