"name","value","note","date"
"ciCoverageRoundedEpsPointOneGaussianAlphaTenPerfectPriv","73\%",NA,2026-09-04
"ciCoverageEpsPointOneLaplaceAlphaTenPerfectPriv","62.4\%",NA,2026-09-04
"ciCoverageRoundedEpsPointOneLaplaceAlphaTenPerfectPriv","62\%",NA,2026-09-04
"epiSignParityFPREpsPointOneGaussianAlphaTenPerfectPriv","2.7\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointOneGaussianAlphaTenPerfectPriv","3\%",NA,2026-09-04
"epiSignParityFPREpsPointOneLaplaceAlphaTenPerfectPriv","3.1\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointOneLaplaceAlphaTenPerfectPriv","3\%",NA,2026-09-04
"signFlipEpsPointOneGaussianAlphaTenPerfectPriv","1.3\%",NA,2026-09-04
"signFlipRoundedEpsPointOneGaussianAlphaTenPerfectPriv","1\%",NA,2026-09-04
"signFlipEpsPointOneLaplaceAlphaTenPerfectPriv","1.8\%",NA,2026-09-04
"signFlipRoundedEpsPointOneLaplaceAlphaTenPerfectPriv","2\%",NA,2026-09-04
"epiParityEpsPointZeroOneGaussianAlphaOnePerfectPriv","61.9\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroOneGaussianAlphaOnePerfectPriv","62\%",NA,2026-09-04
"epiDisparityEpsPointZeroOneGaussianAlphaOnePerfectPriv","38.1\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroOneGaussianAlphaOnePerfectPriv","38\%",NA,2026-09-04
"epiParityEpsPointZeroOneLaplaceAlphaOnePerfectPriv","57.3\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroOneLaplaceAlphaOnePerfectPriv","57\%",NA,2026-09-04
"epiDisparityEpsPointZeroOneLaplaceAlphaOnePerfectPriv","42.7\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroOneLaplaceAlphaOnePerfectPriv","43\%",NA,2026-09-04
"epiSignParityEpsPointZeroOneGaussianAlphaOnePerfectPriv","62.0\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroOneGaussianAlphaOnePerfectPriv","62\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroOneGaussianAlphaOnePerfectPriv","38.0\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroOneGaussianAlphaOnePerfectPriv","38\%",NA,2026-09-04
"epiSignParityEpsPointZeroOneLaplaceAlphaOnePerfectPriv","56.5\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroOneLaplaceAlphaOnePerfectPriv","56\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroOneLaplaceAlphaOnePerfectPriv","43.5\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroOneLaplaceAlphaOnePerfectPriv","44\%",NA,2026-09-04
"ciCoverageEpsPointZeroOneGaussianAlphaOnePerfectPriv","63.8\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroOneGaussianAlphaOnePerfectPriv","64\%",NA,2026-09-04
"ciCoverageEpsPointZeroOneLaplaceAlphaOnePerfectPriv","56.7\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroOneLaplaceAlphaOnePerfectPriv","57\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroOneGaussianAlphaOnePerfectPriv","0.9\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroOneGaussianAlphaOnePerfectPriv","1\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroOneLaplaceAlphaOnePerfectPriv","1.2\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroOneLaplaceAlphaOnePerfectPriv","1\%",NA,2026-09-04
"signFlipEpsPointZeroOneGaussianAlphaOnePerfectPriv","0.8\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroOneGaussianAlphaOnePerfectPriv","1\%",NA,2026-09-04
"signFlipEpsPointZeroOneLaplaceAlphaOnePerfectPriv","0.6\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroOneLaplaceAlphaOnePerfectPriv","1\%",NA,2026-09-04
"epiParityEpsPointZeroOneGaussianAlphaFivePerfectPriv","60.3\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroOneGaussianAlphaFivePerfectPriv","60\%",NA,2026-09-04
"epiDisparityEpsPointZeroOneGaussianAlphaFivePerfectPriv","39.7\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroOneGaussianAlphaFivePerfectPriv","40\%",NA,2026-09-04
"epiParityEpsPointZeroOneLaplaceAlphaFivePerfectPriv","54.0\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroOneLaplaceAlphaFivePerfectPriv","54\%",NA,2026-09-04
"epiDisparityEpsPointZeroOneLaplaceAlphaFivePerfectPriv","46.0\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroOneLaplaceAlphaFivePerfectPriv","46\%",NA,2026-09-04
"epiSignParityEpsPointZeroOneGaussianAlphaFivePerfectPriv","60.5\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroOneGaussianAlphaFivePerfectPriv","61\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroOneGaussianAlphaFivePerfectPriv","39.5\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroOneGaussianAlphaFivePerfectPriv","39\%",NA,2026-09-04
"epiSignParityEpsPointZeroOneLaplaceAlphaFivePerfectPriv","54.2\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroOneLaplaceAlphaFivePerfectPriv","54\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroOneLaplaceAlphaFivePerfectPriv","45.8\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroOneLaplaceAlphaFivePerfectPriv","46\%",NA,2026-09-04
"ciCoverageEpsPointZeroOneGaussianAlphaFivePerfectPriv","60.2\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroOneGaussianAlphaFivePerfectPriv","60\%",NA,2026-09-04
"ciCoverageEpsPointZeroOneLaplaceAlphaFivePerfectPriv","53.4\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroOneLaplaceAlphaFivePerfectPriv","53\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroOneGaussianAlphaFivePerfectPriv","2.4\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroOneGaussianAlphaFivePerfectPriv","2\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroOneLaplaceAlphaFivePerfectPriv","3.0\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroOneLaplaceAlphaFivePerfectPriv","3\%",NA,2026-09-04
"signFlipEpsPointZeroOneGaussianAlphaFivePerfectPriv","1.6\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroOneGaussianAlphaFivePerfectPriv","2\%",NA,2026-09-04
"signFlipEpsPointZeroOneLaplaceAlphaFivePerfectPriv","1.6\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroOneLaplaceAlphaFivePerfectPriv","2\%",NA,2026-09-04
"epiParityEpsPointZeroOneGaussianAlphaTenPerfectPriv","61.0\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroOneGaussianAlphaTenPerfectPriv","61\%",NA,2026-09-04
"epiDisparityEpsPointZeroOneGaussianAlphaTenPerfectPriv","39.0\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroOneGaussianAlphaTenPerfectPriv","39\%",NA,2026-09-04
"epiParityEpsPointZeroOneLaplaceAlphaTenPerfectPriv","55.6\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroOneLaplaceAlphaTenPerfectPriv","56\%",NA,2026-09-04
"epiDisparityEpsPointZeroOneLaplaceAlphaTenPerfectPriv","44.4\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroOneLaplaceAlphaTenPerfectPriv","44\%",NA,2026-09-04
"epiSignParityEpsPointZeroOneGaussianAlphaTenPerfectPriv","61.5\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroOneGaussianAlphaTenPerfectPriv","62\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroOneGaussianAlphaTenPerfectPriv","38.5\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroOneGaussianAlphaTenPerfectPriv","38\%",NA,2026-09-04
"epiSignParityEpsPointZeroOneLaplaceAlphaTenPerfectPriv","56.2\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroOneLaplaceAlphaTenPerfectPriv","56\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroOneLaplaceAlphaTenPerfectPriv","43.8\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroOneLaplaceAlphaTenPerfectPriv","44\%",NA,2026-09-04
"ciCoverageEpsPointZeroOneGaussianAlphaTenPerfectPriv","57.8\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroOneGaussianAlphaTenPerfectPriv","58\%",NA,2026-09-04
"ciCoverageEpsPointZeroOneLaplaceAlphaTenPerfectPriv","51.3\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroOneLaplaceAlphaTenPerfectPriv","51\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroOneGaussianAlphaTenPerfectPriv","4.5\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroOneGaussianAlphaTenPerfectPriv","5\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroOneLaplaceAlphaTenPerfectPriv","3.9\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroOneLaplaceAlphaTenPerfectPriv","4\%",NA,2026-09-04
"signFlipEpsPointZeroOneGaussianAlphaTenPerfectPriv","3.1\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroOneGaussianAlphaTenPerfectPriv","3\%",NA,2026-09-04
"signFlipEpsPointZeroOneLaplaceAlphaTenPerfectPriv","2.5\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroOneLaplaceAlphaTenPerfectPriv","2\%",NA,2026-09-04
"epiParityEpsPointZeroZeroOneGaussianAlphaOnePerfectPriv","52.3\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroZeroOneGaussianAlphaOnePerfectPriv","52\%",NA,2026-09-04
"epiDisparityEpsPointZeroZeroOneGaussianAlphaOnePerfectPriv","47.7\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroZeroOneGaussianAlphaOnePerfectPriv","48\%",NA,2026-09-04
"epiParityEpsPointZeroZeroOneLaplaceAlphaOnePerfectPriv","47.1\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroZeroOneLaplaceAlphaOnePerfectPriv","47\%",NA,2026-09-04
"epiDisparityEpsPointZeroZeroOneLaplaceAlphaOnePerfectPriv","52.9\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroZeroOneLaplaceAlphaOnePerfectPriv","53\%",NA,2026-09-04
"epiSignParityEpsPointZeroZeroOneGaussianAlphaOnePerfectPriv","51.5\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroZeroOneGaussianAlphaOnePerfectPriv","52\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroZeroOneGaussianAlphaOnePerfectPriv","48.5\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroZeroOneGaussianAlphaOnePerfectPriv","48\%",NA,2026-09-04
"epiSignParityEpsPointZeroZeroOneLaplaceAlphaOnePerfectPriv","46.3\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroZeroOneLaplaceAlphaOnePerfectPriv","46\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroZeroOneLaplaceAlphaOnePerfectPriv","53.7\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroZeroOneLaplaceAlphaOnePerfectPriv","54\%",NA,2026-09-04
"ciCoverageEpsPointZeroZeroOneGaussianAlphaOnePerfectPriv","52.5\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroZeroOneGaussianAlphaOnePerfectPriv","52\%",NA,2026-09-04
"ciCoverageEpsPointZeroZeroOneLaplaceAlphaOnePerfectPriv","47.2\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroZeroOneLaplaceAlphaOnePerfectPriv","47\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroZeroOneGaussianAlphaOnePerfectPriv","1.5\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroZeroOneGaussianAlphaOnePerfectPriv","1\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroZeroOneLaplaceAlphaOnePerfectPriv","2.0\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroZeroOneLaplaceAlphaOnePerfectPriv","2\%",NA,2026-09-04
"signFlipEpsPointZeroZeroOneGaussianAlphaOnePerfectPriv","0.4\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroZeroOneGaussianAlphaOnePerfectPriv","0\%",NA,2026-09-04
"signFlipEpsPointZeroZeroOneLaplaceAlphaOnePerfectPriv","0.8\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroZeroOneLaplaceAlphaOnePerfectPriv","1\%",NA,2026-09-04
"epiParityEpsPointZeroZeroOneGaussianAlphaFivePerfectPriv","49.7\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroZeroOneGaussianAlphaFivePerfectPriv","50\%",NA,2026-09-04
"epiDisparityEpsPointZeroZeroOneGaussianAlphaFivePerfectPriv","50.3\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroZeroOneGaussianAlphaFivePerfectPriv","50\%",NA,2026-09-04
"epiParityEpsPointZeroZeroOneLaplaceAlphaFivePerfectPriv","46.5\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroZeroOneLaplaceAlphaFivePerfectPriv","46\%",NA,2026-09-04
"epiDisparityEpsPointZeroZeroOneLaplaceAlphaFivePerfectPriv","53.5\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroZeroOneLaplaceAlphaFivePerfectPriv","54\%",NA,2026-09-04
"epiSignParityEpsPointZeroZeroOneGaussianAlphaFivePerfectPriv","49.8\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroZeroOneGaussianAlphaFivePerfectPriv","50\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroZeroOneGaussianAlphaFivePerfectPriv","50.2\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroZeroOneGaussianAlphaFivePerfectPriv","50\%",NA,2026-09-04
"epiSignParityEpsPointZeroZeroOneLaplaceAlphaFivePerfectPriv","46.4\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroZeroOneLaplaceAlphaFivePerfectPriv","46\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroZeroOneLaplaceAlphaFivePerfectPriv","53.6\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroZeroOneLaplaceAlphaFivePerfectPriv","54\%",NA,2026-09-04
"ciCoverageEpsPointZeroZeroOneGaussianAlphaFivePerfectPriv","48.0\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroZeroOneGaussianAlphaFivePerfectPriv","48\%",NA,2026-09-04
"ciCoverageEpsPointZeroZeroOneLaplaceAlphaFivePerfectPriv","42.0\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroZeroOneLaplaceAlphaFivePerfectPriv","42\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroZeroOneGaussianAlphaFivePerfectPriv","3.1\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroZeroOneGaussianAlphaFivePerfectPriv","3\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroZeroOneLaplaceAlphaFivePerfectPriv","4.1\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroZeroOneLaplaceAlphaFivePerfectPriv","4\%",NA,2026-09-04
"signFlipEpsPointZeroZeroOneGaussianAlphaFivePerfectPriv","1.6\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroZeroOneGaussianAlphaFivePerfectPriv","2\%",NA,2026-09-04
"signFlipEpsPointZeroZeroOneLaplaceAlphaFivePerfectPriv","2.5\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroZeroOneLaplaceAlphaFivePerfectPriv","2\%",NA,2026-09-04
"epiParityEpsPointZeroZeroOneGaussianAlphaTenPerfectPriv","52.1\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroZeroOneGaussianAlphaTenPerfectPriv","52\%",NA,2026-09-04
"epiDisparityEpsPointZeroZeroOneGaussianAlphaTenPerfectPriv","47.9\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroZeroOneGaussianAlphaTenPerfectPriv","48\%",NA,2026-09-04
"epiParityEpsPointZeroZeroOneLaplaceAlphaTenPerfectPriv","48.6\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroZeroOneLaplaceAlphaTenPerfectPriv","49\%",NA,2026-09-04
"epiDisparityEpsPointZeroZeroOneLaplaceAlphaTenPerfectPriv","51.4\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroZeroOneLaplaceAlphaTenPerfectPriv","51\%",NA,2026-09-04
"epiSignParityEpsPointZeroZeroOneGaussianAlphaTenPerfectPriv","52.4\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroZeroOneGaussianAlphaTenPerfectPriv","52\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroZeroOneGaussianAlphaTenPerfectPriv","47.6\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroZeroOneGaussianAlphaTenPerfectPriv","48\%",NA,2026-09-04
"epiSignParityEpsPointZeroZeroOneLaplaceAlphaTenPerfectPriv","48.7\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroZeroOneLaplaceAlphaTenPerfectPriv","49\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroZeroOneLaplaceAlphaTenPerfectPriv","51.3\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroZeroOneLaplaceAlphaTenPerfectPriv","51\%",NA,2026-09-04
"ciCoverageEpsPointZeroZeroOneGaussianAlphaTenPerfectPriv","44.9\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroZeroOneGaussianAlphaTenPerfectPriv","45\%",NA,2026-09-04
"ciCoverageEpsPointZeroZeroOneLaplaceAlphaTenPerfectPriv","39.3\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroZeroOneLaplaceAlphaTenPerfectPriv","39\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroZeroOneGaussianAlphaTenPerfectPriv","4.6\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroZeroOneGaussianAlphaTenPerfectPriv","5\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroZeroOneLaplaceAlphaTenPerfectPriv","5.5\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroZeroOneLaplaceAlphaTenPerfectPriv","6\%",NA,2026-09-04
"signFlipEpsPointZeroZeroOneGaussianAlphaTenPerfectPriv","3.0\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroZeroOneGaussianAlphaTenPerfectPriv","3\%",NA,2026-09-04
"signFlipEpsPointZeroZeroOneLaplaceAlphaTenPerfectPriv","3.7\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroZeroOneLaplaceAlphaTenPerfectPriv","4\%",NA,2026-09-04
"epiParityEpsPointZeroZeroZeroOneGaussianAlphaOnePerfectPriv","42.1\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroZeroZeroOneGaussianAlphaOnePerfectPriv","42\%",NA,2026-09-04
"epiDisparityEpsPointZeroZeroZeroOneGaussianAlphaOnePerfectPriv","57.9\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroZeroZeroOneGaussianAlphaOnePerfectPriv","58\%",NA,2026-09-04
"epiParityEpsPointZeroZeroZeroOneLaplaceAlphaOnePerfectPriv","41.5\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroZeroZeroOneLaplaceAlphaOnePerfectPriv","42\%",NA,2026-09-04
"epiDisparityEpsPointZeroZeroZeroOneLaplaceAlphaOnePerfectPriv","58.5\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroZeroZeroOneLaplaceAlphaOnePerfectPriv","58\%",NA,2026-09-04
"epiSignParityEpsPointZeroZeroZeroOneGaussianAlphaOnePerfectPriv","40.2\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroZeroZeroOneGaussianAlphaOnePerfectPriv","40\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroZeroZeroOneGaussianAlphaOnePerfectPriv","59.8\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroZeroZeroOneGaussianAlphaOnePerfectPriv","60\%",NA,2026-09-04
"epiSignParityEpsPointZeroZeroZeroOneLaplaceAlphaOnePerfectPriv","39.5\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroZeroZeroOneLaplaceAlphaOnePerfectPriv","40\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroZeroZeroOneLaplaceAlphaOnePerfectPriv","60.5\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroZeroZeroOneLaplaceAlphaOnePerfectPriv","60\%",NA,2026-09-04
"ciCoverageEpsPointZeroZeroZeroOneGaussianAlphaOnePerfectPriv","41.5\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroZeroZeroOneGaussianAlphaOnePerfectPriv","41\%",NA,2026-09-04
"ciCoverageEpsPointZeroZeroZeroOneLaplaceAlphaOnePerfectPriv","39.2\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroZeroZeroOneLaplaceAlphaOnePerfectPriv","39\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroZeroZeroOneGaussianAlphaOnePerfectPriv","2.9\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroZeroZeroOneGaussianAlphaOnePerfectPriv","3\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroZeroZeroOneLaplaceAlphaOnePerfectPriv","3.4\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroZeroZeroOneLaplaceAlphaOnePerfectPriv","3\%",NA,2026-09-04
"signFlipEpsPointZeroZeroZeroOneGaussianAlphaOnePerfectPriv","2.1\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroZeroZeroOneGaussianAlphaOnePerfectPriv","2\%",NA,2026-09-04
"signFlipEpsPointZeroZeroZeroOneLaplaceAlphaOnePerfectPriv","2.3\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroZeroZeroOneLaplaceAlphaOnePerfectPriv","2\%",NA,2026-09-04
"epiParityEpsPointZeroZeroZeroOneGaussianAlphaFivePerfectPriv","43.3\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroZeroZeroOneGaussianAlphaFivePerfectPriv","43\%",NA,2026-09-04
"epiDisparityEpsPointZeroZeroZeroOneGaussianAlphaFivePerfectPriv","56.7\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroZeroZeroOneGaussianAlphaFivePerfectPriv","57\%",NA,2026-09-04
"epiParityEpsPointZeroZeroZeroOneLaplaceAlphaFivePerfectPriv","42.7\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroZeroZeroOneLaplaceAlphaFivePerfectPriv","43\%",NA,2026-09-04
"epiDisparityEpsPointZeroZeroZeroOneLaplaceAlphaFivePerfectPriv","57.3\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroZeroZeroOneLaplaceAlphaFivePerfectPriv","57\%",NA,2026-09-04
"epiSignParityEpsPointZeroZeroZeroOneGaussianAlphaFivePerfectPriv","42.1\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroZeroZeroOneGaussianAlphaFivePerfectPriv","42\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroZeroZeroOneGaussianAlphaFivePerfectPriv","57.9\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroZeroZeroOneGaussianAlphaFivePerfectPriv","58\%",NA,2026-09-04
"epiSignParityEpsPointZeroZeroZeroOneLaplaceAlphaFivePerfectPriv","41.3\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroZeroZeroOneLaplaceAlphaFivePerfectPriv","41\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroZeroZeroOneLaplaceAlphaFivePerfectPriv","58.7\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroZeroZeroOneLaplaceAlphaFivePerfectPriv","59\%",NA,2026-09-04
"ciCoverageEpsPointZeroZeroZeroOneGaussianAlphaFivePerfectPriv","36.6\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroZeroZeroOneGaussianAlphaFivePerfectPriv","37\%",NA,2026-09-04
"ciCoverageEpsPointZeroZeroZeroOneLaplaceAlphaFivePerfectPriv","34.1\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroZeroZeroOneLaplaceAlphaFivePerfectPriv","34\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroZeroZeroOneGaussianAlphaFivePerfectPriv","4.3\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroZeroZeroOneGaussianAlphaFivePerfectPriv","4\%",NA,2026-09-04
"epiSignParityFPREpsPointZeroZeroZeroOneLaplaceAlphaFivePerfectPriv","5.1\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsPointZeroZeroZeroOneLaplaceAlphaFivePerfectPriv","5\%",NA,2026-09-04
"signFlipEpsPointZeroZeroZeroOneGaussianAlphaFivePerfectPriv","2.7\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroZeroZeroOneGaussianAlphaFivePerfectPriv","3\%",NA,2026-09-04
"signFlipEpsPointZeroZeroZeroOneLaplaceAlphaFivePerfectPriv","3.6\%",NA,2026-09-04
"signFlipRoundedEpsPointZeroZeroZeroOneLaplaceAlphaFivePerfectPriv","4\%",NA,2026-09-04
"epiParityEpsPointZeroZeroZeroOneGaussianAlphaTenPerfectPriv","45.3\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroZeroZeroOneGaussianAlphaTenPerfectPriv","45\%",NA,2026-09-04
"epiDisparityEpsPointZeroZeroZeroOneGaussianAlphaTenPerfectPriv","54.7\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroZeroZeroOneGaussianAlphaTenPerfectPriv","55\%",NA,2026-09-04
"epiParityEpsPointZeroZeroZeroOneLaplaceAlphaTenPerfectPriv","43.3\%",NA,2026-09-04
"epiParityRoundedEpsPointZeroZeroZeroOneLaplaceAlphaTenPerfectPriv","43\%",NA,2026-09-04
"epiDisparityEpsPointZeroZeroZeroOneLaplaceAlphaTenPerfectPriv","56.7\%",NA,2026-09-04
"epiDisparityRoundedEpsPointZeroZeroZeroOneLaplaceAlphaTenPerfectPriv","57\%",NA,2026-09-04
"epiSignParityEpsPointZeroZeroZeroOneGaussianAlphaTenPerfectPriv","44.7\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroZeroZeroOneGaussianAlphaTenPerfectPriv","45\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroZeroZeroOneGaussianAlphaTenPerfectPriv","55.3\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroZeroZeroOneGaussianAlphaTenPerfectPriv","55\%",NA,2026-09-04
"epiSignParityEpsPointZeroZeroZeroOneLaplaceAlphaTenPerfectPriv","42.0\%",NA,2026-09-04
"epiSignParityRoundedEpsPointZeroZeroZeroOneLaplaceAlphaTenPerfectPriv","42\%",NA,2026-09-04
"epiSignDisparityEpsPointZeroZeroZeroOneLaplaceAlphaTenPerfectPriv","58.0\%",NA,2026-09-04
"epiSignDisparityRoundedEpsPointZeroZeroZeroOneLaplaceAlphaTenPerfectPriv","58\%",NA,2026-09-04
"ciCoverageEpsPointZeroZeroZeroOneGaussianAlphaTenPerfectPriv","34.3\%",NA,2026-09-04
"ciCoverageRoundedEpsPointZeroZeroZeroOneGaussianAlphaTenPerfectPriv","34\%",NA,2026-09-04
