"name","value","note","date"
"epiParityEpsOneThousandLaplaceAlphaOne","99.3\%",NA,2026-09-04
"epiParityRoundedEpsOneThousandLaplaceAlphaOne","99\%",NA,2026-09-04
"epiDisparityEpsOneThousandLaplaceAlphaOne","0.7\%",NA,2026-09-04
"epiDisparityRoundedEpsOneThousandLaplaceAlphaOne","1\%",NA,2026-09-04
"epiSignParityEpsOneThousandGaussianAlphaOne","99.3\%",NA,2026-09-04
"epiSignParityRoundedEpsOneThousandGaussianAlphaOne","99\%",NA,2026-09-04
"epiSignDisparityEpsOneThousandGaussianAlphaOne","0.7\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneThousandGaussianAlphaOne","1\%",NA,2026-09-04
"epiSignParityEpsOneThousandLaplaceAlphaOne","99.4\%",NA,2026-09-04
"epiSignParityRoundedEpsOneThousandLaplaceAlphaOne","99\%",NA,2026-09-04
"epiSignDisparityEpsOneThousandLaplaceAlphaOne","0.6\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneThousandLaplaceAlphaOne","1\%",NA,2026-09-04
"ciCoverageEpsOneThousandGaussianAlphaOne","99.8\%",NA,2026-09-04
"ciCoverageRoundedEpsOneThousandGaussianAlphaOne","100\%",NA,2026-09-04
"ciCoverageEpsOneThousandLaplaceAlphaOne","99.8\%",NA,2026-09-04
"ciCoverageRoundedEpsOneThousandLaplaceAlphaOne","100\%",NA,2026-09-04
"epiSignParityFPREpsOneThousandGaussianAlphaOne","0.0\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneThousandGaussianAlphaOne","0\%",NA,2026-09-04
"epiSignParityFPREpsOneThousandLaplaceAlphaOne","0.0\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneThousandLaplaceAlphaOne","0\%",NA,2026-09-04
"signFlipEpsOneThousandGaussianAlphaOne","0.0\%",NA,2026-09-04
"signFlipRoundedEpsOneThousandGaussianAlphaOne","0\%",NA,2026-09-04
"signFlipEpsOneThousandLaplaceAlphaOne","0.0\%",NA,2026-09-04
"signFlipRoundedEpsOneThousandLaplaceAlphaOne","0\%",NA,2026-09-04
"epiParityEpsOneThousandGaussianAlphaFive","97.5\%",NA,2026-09-04
"epiParityRoundedEpsOneThousandGaussianAlphaFive","97\%",NA,2026-09-04
"epiDisparityEpsOneThousandGaussianAlphaFive","2.5\%",NA,2026-09-04
"epiDisparityRoundedEpsOneThousandGaussianAlphaFive","3\%",NA,2026-09-04
"epiParityEpsOneThousandLaplaceAlphaFive","97.9\%",NA,2026-09-04
"epiParityRoundedEpsOneThousandLaplaceAlphaFive","98\%",NA,2026-09-04
"epiDisparityEpsOneThousandLaplaceAlphaFive","2.1\%",NA,2026-09-04
"epiDisparityRoundedEpsOneThousandLaplaceAlphaFive","2\%",NA,2026-09-04
"epiSignParityEpsOneThousandGaussianAlphaFive","96.7\%",NA,2026-09-04
"epiSignParityRoundedEpsOneThousandGaussianAlphaFive","97\%",NA,2026-09-04
