"","est1","","","","est2","","","","est3","","","","est4","","","","est5","","","","est6","","","","est7","","","","est8","","","","est9","","",""
"","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p","b","se","t","p"
"statetimefe_138","239.4332","127.5985","1.876458",".0666792","4.383667","1.78067","2.461808",".0174675","275.0859","64.78202","4.246331",".0000217","2.547739",".9946368","2.561477",".0104228","-10.23705","10.13977","-1.009594",".3126898","9.887264","11.65005",".8486887",".3960545","86.89113","35.40221","2.454398",".0141121","181.4282","42.25533","4.293617",".0000176","4.568627","23.39508",".1952815",".8451726"
"statetimefe_139","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".",".","0",".",".","."
"statetimefe_140","-196.8224","124.3586","-1.5827",".1200574","9.964777",".8525584","11.68809","1.21e-15","65.97615","25.88152","2.54916",".0107983",".6757134",".1823539","3.705506",".000211","-2.846784","1.88936","-1.506745",".1318761","-9.94489","4.347318","-2.287592",".0221613","-2.843245","9.014925","-.3153931",".7524632","73.29813","12.90453","5.680029","1.35e-08","7.637213","4.411763","1.731102",".0834335"
"statetimefe_141","111.522","9.312187","11.97592","5.02e-16","-1.519642",".1035885","-14.66998","2.31e-19","165.3012","18.00478","9.180959","0",".3383865",".1223477","2.765778",".0056787","-2.387577",".9763414","-2.445433",".0144678","-6.52491","2.501201","-2.608711",".0090884","86.35376","6.668612","12.94929","0","82.41332","8.211349","10.03651","0","5.10818","2.780249","1.83731",".0661641"
"statetimefe_142","191.697","128.7821","1.488538",".1431503","6.954009","1.416447","4.909474",".000011","360.7231","47.50647","7.593137","3.13e-14",".1769083",".3895631",".4541198",".6497426","3.677636","5.852767",".6283586",".5297691","45.10903","14.74023","3.060267",".0022114","66.92318","10.05816","6.653621","2.86e-11","193.8199","34.81336","5.567402","2.59e-08","51.01642","7.556546","6.751288","1.47e-11"
"statetimefe_143","-95.83213","56.44012","-1.697943",".0959934","1.249391",".5993278","2.084654",".0424447","-244.7496","101.0356","-2.422409",".015418","-1.954397",".6322603","-3.091127",".001994","-37.88801","6.751446","-5.611837","2.00e-08","-64.69541","14.60917","-4.428411","9.49e-06","-.3169433","32.98265","-.0096094",".9923329","-69.4932","60.45081","-1.149583",".2503158","-70.40165","16.76282","-4.199868",".0000267"
"statetimefe_144","170.41","31.34096","5.437293","1.79e-06","1.700357",".1392259","12.21294","2.46e-16","-103.7489","18.44128","-5.625907","1.85e-08","-2.743991",".2424374","-11.31835","0","7.219162","1.262594","5.717721","1.08e-08","-.200125","2.87269","-.0696647",".9444606","5.114582","6.62508",".7720031",".4401126","-103.451","9.889802","-10.46037","0","-9.687528","3.523482","-2.749419",".0059701"
"statetimefe_145","195.2423","47.97474","4.069689",".0001747","-2.397642",".2410302","-9.947477","3.01e-13","-268.0655","34.67409","-7.731004","1.07e-14","-.8422761",".2342915","-3.594992",".0003244","-8.402911","1.952677","-4.303278",".0000168","-34.80672","6.077895","-5.726772","1.02e-08","-17.314","12.00612","-1.442098",".1492749","-175.2632","18.97275","-9.237627","0","-31.43647","5.651843","-5.562162","2.66e-08"
"statetimefe_146","43.60626","95.66009",".4558459",".6505564","12.68719",".5783721","21.93603","1.15e-26","541.4141","66.10323","8.190433","2.22e-16","3.39298",".4816886","7.043929","1.87e-12","20.10497","4.266621","4.712154","2.45e-06","46.77996","9.401265","4.975922","6.49e-07","14.04557","23.96812",".5860103",".5578686","398.4749","32.75627","12.16484","0","58.61569","10.83444","5.410129","6.30e-08"
"statetimefe_147","-53.72966","41.1504","-1.30569",".1978816","-4.228497",".55934","-7.559798","1.03e-09","141.2246","18.17302","7.771114","7.77e-15","-.0707654",".1487574","-.47571",".634281","6.554747","1.382037","4.742817","2.11e-06","-1.744505","2.678254","-.651359",".5148148","42.24946","6.286176","6.721011","1.80e-11","80.68817","9.174525","8.794806","0","13.54747","1.973257","6.865537","6.62e-12"
