	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)
	GolkarFirst	GolkarFirst	GolkarFirst	GolkarFirst	GolkarFirst	GolkarFirst	PDIFirst	PDIFirst	PDIFirst	PDIFirst	PDIFirst	PDIFirst	GolkarFirst	GolkarFirst	GolkarFirst	GolkarFirst	GolkarFirst	GolkarFirst	PDIFirst	PDIFirst	PDIFirst	PDIFirst	PDIFirst	PDIFirst
VARIABLES	Whole Sample	PDI Won Large	PDI Won	Golkar Won	Golkar Won Large	Neither Won	Whole Sample	PDI Won Large	PDI Won	Golkar Won	Golkar Won Large	Neither Won	Whole Sample	PDI Won Large	PDI Won	Golkar Won	Golkar Won Large	Neither Won	Whole Sample	PDI Won Large	PDI Won	Golkar Won	Golkar Won Large	Neither Won
																								
idkab_dum21	0.0947***				0.0295		-0.0517**				-0.0009		0.0947***				0.0295		-0.0517**				-0.0009	
	(0.021)				(0.018)		(0.021)				(0.017)		(0.021)				(0.018)		(0.021)				(0.017)	
idkab_dum22	0.0298				-0.0419***		-0.0167				0.0370**		0.0298				-0.0419***		-0.0167				0.0370**	
	(0.020)				(0.015)		(0.021)				(0.015)		(0.020)				(0.015)		(0.021)				(0.015)	
idkab_dum23	0.1461***				0.0618***		-0.0714***				-0.0033		0.1461***				0.0618***		-0.0714***				-0.0033	
	(0.020)				(0.013)		(0.021)				(0.014)		(0.020)				(0.013)		(0.021)				(0.014)	
idkab_dum24	0.0944***				0.0408**		-0.0255				-0.0010		0.0944***				0.0408**		-0.0255				-0.0010	
	(0.022)				(0.019)		(0.021)				(0.017)		(0.022)				(0.019)		(0.021)				(0.017)	
idkab_dum25	0.0988***				0.0165		-0.0661***				0.0133		0.0988***				0.0165		-0.0661***				0.0133	
	(0.020)				(0.018)		(0.021)				(0.018)		(0.020)				(0.018)		(0.021)				(0.018)	
idkab_dum26	0.0892***				0.0113		-0.0558***				0.0089		0.0892***				0.0113		-0.0558***				0.0089	
	(0.019)				(0.015)		(0.020)				(0.014)		(0.019)				(0.015)		(0.020)				(0.014)	
idkab_dum27	0.0429**				-0.0322**		0.0126				0.0693***		0.0429**				-0.0322**		0.0126				0.0693***	
	(0.019)				(0.015)		(0.019)				(0.014)		(0.019)				(0.015)		(0.019)				(0.014)	
idkab_dum28	0.1081***				0.0465***		-0.0350				-0.0020		0.1081***				0.0465***		-0.0350				-0.0020	
	(0.024)				(0.012)		(0.024)				(0.012)		(0.024)				(0.012)		(0.024)				(0.012)	
idkab_dum29	0.1152***				0.0352***		-0.0758***				-0.0118		0.1152***				0.0352***		-0.0758***				-0.0118	
	(0.019)				(0.011)		(0.019)				(0.011)		(0.019)				(0.011)		(0.019)				(0.011)	
idkab_dum30	0.1160***				0.0297**		-0.0570***				0.0142		0.1160***				0.0297**		-0.0570***				0.0142	
	(0.019)				(0.013)		(0.020)				(0.013)		(0.019)				(0.013)		(0.020)				(0.013)	
idkab_dum31	0.0540***				-0.0134		-0.0464**				-0.0045		0.0540***				-0.0134		-0.0464**				-0.0045	
	(0.021)				(0.011)		(0.021)				(0.010)		(0.021)				(0.011)		(0.021)				(0.010)	
idkab_dum32	-0.0814***				-0.1467***		0.0461**				0.0958***		-0.0814***				-0.1467***		0.0461**				0.0958***	
	(0.021)				(0.007)		(0.022)				(0.008)		(0.021)				(0.007)		(0.022)				(0.008)	
idkab_dum33	0.0806***				0.0194*		-0.0187				0.0172*		0.0806***				0.0194*		-0.0187				0.0172*	
	(0.022)				(0.010)		(0.022)				(0.009)		(0.022)				(0.010)		(0.022)				(0.009)	
idkab_dum34	0.0637***				-0.0448**		-0.1000***				-0.0206		0.0637***				-0.0448**		-0.1000***				-0.0206	
	(0.011)				(0.021)		(0.011)				(0.019)		(0.011)				(0.021)		(0.011)				(0.019)	
idkab_dum35	-0.1474***				-0.1813***		0.1763***				0.2071***		-0.1474***				-0.1813***		0.1763***				0.2071***	
	(0.032)				(0.028)		(0.032)				(0.024)		(0.032)				(0.028)		(0.032)				(0.024)	
