"","est1","","est2","","est3","","est4","","est5","","est6","","est7","","est8","","est9","","est10","","est11",""
"","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se","b","se"
"state_fe_28_trend","-.3909752",".0934192",".042967",".1093709",".045877",".1323283","-.0373451",".0683139","-.1422499",".116735",".3346044",".0581906","-.1701876",".2049062",".061325",".109586",".4224955",".1006396","-.0561143",".0878561",".2055873",".1152438"
"state_fe_29_trend","-1.148586",".073962","-.5650557",".0658034","-.3371152",".0887791","-2.215955",".0573662","-.3945677",".1001719","-.4298371",".0496079","1.16117",".172651",".4410553",".0651883",".4450911",".081268",".0985406",".0689356","-.0062407",".1148676"
"state_fe_30_trend","-.3609016",".1285094","-.6345125",".1202321","-.6785827",".1135137",".3048031",".0792487","-.4106693",".1127395","-.0596803",".0857686",".0113578",".1326684","-.5080938",".1045044",".1075715",".1185029",".1675565",".094412",".2879127",".1502375"
"state_fe_31_trend","-.6885303",".0732856","-.4712079",".0673825","-.1641491",".0886841",".1456006",".0528999","-.1480457",".0881003",".2249821",".0571647",".0673795",".1088908","-.0116937",".0541392","-.3826721",".0695586",".4144001",".076024",".0881812",".1138443"
"state_fe_32_trend","-.6236438",".0679908","-.2325334",".0675689","-.4163092",".0823652",".0443951",".0479068","-.0546171",".1145489","-.1575626",".0562206",".0571636",".1680301",".2516441",".0603206",".2815519",".074794",".3476",".0638268","-.4865059",".1055826"
"state_fe_33_trend","-.4526272",".1018072","-.2604958",".0884745","-.094195",".1098472","-.1735511",".0658091","-.2408361",".1224389","-.0980377",".0892094",".0474022",".117635",".0694235",".0751728",".0344738",".0897471",".2786664",".1369529",".6295083",".1368751"
"state_fe_34_trend","-.1150757",".0966909","-.1642183",".0988467","-.0163852",".1195342","-.1493503",".0695188","-.1669868",".1376911","-.0259009",".1036265",".2510419",".1395831",".0093386",".0944603",".2497983",".0996693",".1322688",".1217674",".2611287",".156943"
"state_fe_35_trend",".0361978",".0754514","-.4279007",".0746654","-.2316369",".0985373",".0350778",".0486946","-.0782802",".1022583",".0912674",".0651513",".0205042",".1379875",".2577694",".0624296",".1376642",".0946996",".0223267",".0610235",".123094",".1315375"
"state_fe_36_trend","-.3722305",".0908292","-.2842211",".0939312","-.1710083",".124202",".1462493",".0690719","-.3366288",".1325936",".1923809",".0962493","-.0922287",".1305679",".1279413",".0935373",".0030186",".0892552",".1788871",".0972422",".0713797",".1467935"
"state_fe_37_trend","-.4142785",".0873312","-.2018026",".0838963","-.4234208",".1030396",".1874143",".0621478","-.4725074",".1373758",".1760935",".0995066",".092058",".1451976",".106987",".0879068","-.1157983",".0999946",".0325601",".0929027",".2781291",".1521395"
"state_fe_38_trend","-.8394541",".1009977","-.5087073",".0502332","-.4714206",".0671715","-.0310038",".0506661",".2225148",".0706133","-.1557733",".056999","-.1937995",".0780674","-.0734933",".0787496",".0102308",".0660155","-.1818595",".0660579",".0227763",".0671304"
"state_fe_39_trend","-.2941078",".0756981","-.3794867",".0729871","-.3799342",".086563","-.10359",".0486985","-.2268114",".0862087",".0062109",".0688219",".0818432",".1260995",".3021499",".0526174",".4144445",".093011",".2161976",".0546603",".0885499",".1151449"
"state_fe_40_trend","-.0598083",".1073217","-.8821369",".086222","-.3614835",".1048112","-.0120283",".063827","-.2016843",".0972324","-.4682913",".0751439",".2310676",".0905693","-.5299798",".0681132","-.0532268",".077106","-.2798431",".0882201",".1240059",".1068603"
"state_fe_41_trend",".1486711",".1055054","-.1264135",".0977848","-.222042",".1160414",".0036178",".0726355","-.1372642",".1406491",".2902392",".1111883",".1019044",".1372748",".2136549",".1036047",".3702503",".1083158",".1997167",".1057853",".3089847",".1604719"
"state_fe_42_trend","-.5201494",".1019071",".0245378",".0991126",".0580301",".1281619",".3340555",".0750499","-.1846544",".1596621","-.1857894",".117408",".3241637",".1536399",".5307989",".1087568","-.0189552",".1075256",".3752294",".1044022",".1561194",".1612427"
"state_fe_43_trend",".0770892",".085951",".1722096",".0903939",".0345649",".106259","-.0173982",".0632756","-.0891878",".1190093","-.0651457",".0696672",".3787614",".1376555",".0291417",".0769039",".3879075",".0924597","-.214322",".0987695",".5761454",".1425223"
"state_fe_44_trend","-.3450743",".1281971","-.3967028",".1324673","-.2123573",".1805527",".0089761",".0865679","-.1760132",".1533863",".2353871",".0860054",".4186031",".2968861",".1033772",".1581268",".3694836",".1800822","-.1031426",".1530076",".3031705",".1116479"
"state_fe_45_trend","-1.260358",".0848092","-.4013859",".080824","-.1014382",".1000679","-.1054567",".0506252","-.1844875",".0924175",".0011525",".0666075",".1793015",".1397768",".3990944",".059728",".1456695",".0934572","-.1843284",".092877",".0396613",".1340031"
"state_fe_46_trend","-.1500555",".1471886","-.1049605",".0775866",".1770144",".140431","-.3303211",".0799786",".0257443",".1389889","-.0361536",".116436",".1649417",".0948969",".4522224",".0823382",".2763162",".0991105",".2087909",".1121953",".2275472",".143386"
"state_fe_47_trend","-.1972621",".0978244","-.334616",".1228009","-.0389835",".153721",".0454304",".0820684","-.3653854",".1592954","-.0022433",".0796195",".4936173",".2882825","-.0600733",".1559162",".182776",".1378578","-.0459808",".1194783",".2835782",".1023033"
"state_fe_48_trend","-.4121726",".1139863","-.5258268",".0539775","-.2144216",".0693434","-.28606",".0515192",".0974099",".0656387",".2495764",".0603874",".0702963",".0721423",".0291718",".0735901",".1910395",".0711161",".0648196",".0758435",".2039931",".0687379"
"state_fe_49_trend","-.2248872",".0904809","-.2680658",".0908747","-.1227665",".1168048","-.0746406",".0680248","-.2193017",".1409387",".0469803",".1010768",".0989727",".1381762",".067358",".0977668","-.0913308",".0954299","-.0023214",".0958588",".0450391",".1540058"
"state_fe_50_trend","-.7279724",".0945632","-.3316514",".0881447","-.0098247",".1229824","-.2048423",".0747105","-.1814079",".1497537","-.1207627",".0957599",".083595",".15978","-.0035493",".1144995",".2632557",".0974633",".0778237",".0991136",".6773692",".1336874"
"state_fe_51_trend","-.0958596",".0867307",".1123945",".1114666","-.1157729",".1455703",".0292096",".0729603","-.0736008",".1209217",".1277157",".0824078",".0691218",".1472589","-.0628027",".105354",".4705234",".0888996",".014511",".0962692",".8148262",".1591005"
"_cons",".468645","16.57107","11.84006","7.263639","33.77798","12.33679","-4.185509","5.406302","7.432866","8.40351","-20.59918","7.804742","-5.563372","13.81307","-5.119429","7.980742","15.51404","11.55435","1.162536","9.755623","21.27271","11.13682"
"N","133922","","133250","","132724","","134020","","136258","","133912","","134363","","133252","","133783","","133483","","133747",""
